"Latest Tweets","Latest Tweets"
"about","about"
"days ago","days ago"
"hours ago","hours ago"
"minutes ago","minutes ago"
"seconds ago","seconds ago"
"Flickr Stream","Flickr Stream"
"Email address","Email address"
"Join","Join"
"Enter your e-mail Address","Enter your e-mail Address"
"SEARCH","SEARCH"
"Cart %s items for %s","Cart %s items for %s"
"Cart %s item for %s","Cart %s item for %s"
"Shopping Cart","Shopping Cart"
"Catalog Category Search","Catalog Category Search"
"Search","Search"
"Search entire store here...","Waar bent u naar op zoek?"
"Select Category On Category Pages","Select Category On Category Pages"
"Show Subcategories","Show Subcategories"
"Subcategory Indentation","Subcategory Indentation"
"Be the First to Know","Be the First to Know"
"Submit","Submit"
"You've just added this product to the cart:","Zojuist toegevoegd aan uw winkelwagen:"
"Clear Shopping Cart","Winkelwagen leegmaken"
"Cart Totals","Totaal"
"All Categories","Alle categorieën"
"Buy now","In Winkelwagen"
"Enter your e-mail Address","Schrijf u in voor de nieuwsbrief"
"Availability", "Beschikbaarheid"
"Additional","Details"
"Sort By","Sorteren"
"View Cart","Winkelwagen"
"Leave","Stuur ons een bericht"
"Please wait, processing your order...","Even wachten a.u.b., uw bestelling wordt verwerkt..."
"Your order has been received.","Bedankt voor uw bestelling."
"This product is not available in the requested quantity. %s of the items will be backordered.","Dit product is niet beschikbaar in de gewenste hoeveelheid. %s stuks wordt in backorder geplaatst."
"%s was added to your shopping cart.", "%s is toegevoegd aan uw winkelwagen."
"Your order # is: %s","Uw bestelnummer is: %s"
"Availability:", "Beschikbaarheid:"
"Recent Posts","Nieuws"
"Already registered? Click here to login.","Inloggen met uw account (geen account nodig)"
"Also Purchased","Klanten keken ook naar"
"Sorry, er zijn momenteel geen offertes beschikbaar voor deze bestelling","Vul eerst uw adres in, voordat u een verzending kunt selecteren"
"INGPSP Fee","Toeslag Bancontact"
