"PdfCustomiser by Fooman","Общие настройки"
"Background Image for Pdf","Фоновый рисунок для Pdf распечаток"
"Add your custom comments here to appear at the bottom of the Invoice Pdf. You could for example include bank account number and terms of payment.","Здесь вы можете добавить комментарий, который появится в нижней части распечатки счёта. Это например может быть номер счёта в банке или условия оплаты."
"Add your custom comments here to appear at the bottom of the Creditmemo Pdf","Здесь вы можете добавить комментарий, который появится в нижней части распечатки кредитового счёта."
"Add your custom comments here to appear at the bottom of the Shipment Pdf","Здесь вы можете добавить комментарий, который появится в нижней части распечатки путевого листа."
"Bottom Margin","Отступ снизу"
"Choose Helvetica, Times or Courier for smaller filesizes. Choose the Dejavu-Variants to support more characters (UTF-8).","Выберите Helvetica, Times или Courier для минимального размера файла. Выберите один из варантов Dejavu при использовании специальных символов (UTF-8)."
"Credit Memo Title","Заголовок кредитового счёта"
"Custom Text","Дополнительная информация"
"Font","Шрифт"
"Base Font Size","Размер шрифта"
"Invoice Title","Заголовок счёта"
"Logo for the Pdf","Логотип для Pdf распечаток"
"Page Size","Размер страницы"
"Shipment Title","Заголовок путевого листа"
"Side Margins","Отступ по бокам"
"Store Address","Адрес магазина"
"Tax Details","Номер налогоплательщика"
"Top Margin","Отступ сверху"
"Which addresses should appear on the Credit Memo? Please note that downloadable product orders don't have a shipping address.","Выберите, какой адрес показывать на кредитовом счёте? Скачиваемые товары не имеют адреса доставки!"
"Which addresses should appear on the invoice? Please note that downloadable product orders don't have a shipping address.","Выберите, какой адрес показывать на счёте? Скачиваемые товары не имеют адреса доставки!"
"Which addresses should appear on the packing slip? Please note that downloadable product orders don't have a shipping address.","Выберите, какой адрес показывать на путевом листе? Скачиваемые товары не имеют адреса доставки!"
"A4","A4"
"letter","письмо"
"Billing Address only","Только адрес плательщика"
"Shipping Address only","Только адрес получателя"
"Both Addresses","Оба адреса"
"Courier","Courier"
"Times New Roman","Times New Roman"
"Helvetica","Helvetica"
"DejaVuSans","DejaVuSans"
"DejaVuSansMono","DejaVuSansMono"
"DejaVuSerif","DejaVuSerif"
"Digitally Sign Pdf","Цифровая подпись для Pdf"
"Signature","Подпись"
"Copy the contents of your certificate/signature file including your private key here. Include everything from -----BEGIN RSA PRIVATE KEY----- to -----END CERTIFICATE-----","Вставте сюда содержимое вашего сертификата/цифровой подписи вместе с приватным ключём. Вставить нужно всё начиная с -----BEGIN RSA PRIVATE KEY----- и до -----END CERTIFICATE-----"
"Password of Signature","Пароль на подпись"
"THSarabunPSK (Thai)","THSarabunPSK (Thai)"
"Add your custom comments here to appear at the bottom of the Order Pdf.","Здесь вы можете добавить комментарий, который появится в нижней части распечатки подтверждения заказа."
"Which addresses should appear on the order? Please note that downloadable product orders don't have a shipping address.","Выберите, какой адрес показывать на подтверждении заказа. Скачиваемые товары не имеют адреса доставки!"
"Display","Дополнительно показывать"
"None","Ничего"
"Product Image","Иллюстрацию товара"
"SKU Barcode","Штрихкод из Артикула"
"Display Quantity as full number","Показывать количество как целое число"
"US","США"
"European","Европейский"
"Customer Address Format","Формат адреса покупателя"
"Display Base and Order Currency","Показывать базовую валюту дополнительно к использованной в заказе"
"Delivery Date","Дата доставки"
"Display Delivery Date","Показывать дату доставки"
"Displays the date of the invoice again. Needed in some jurisdictions.","Отображает дату счёта в качестве даты доставки."
"Print Order History with Comments","Распечатывать историю заказа с комментариями"
"Single - Shipping Address Label","Одиночный - заголовок адреса получателя"
"Single - Billing Address Label","Одиночный - заголовок адреса плательщика"
"Double - Both Addresses","Двойной - оба адреса"
"Use Integrated Labels","Использовать бирки-наклейки"
"Print Order as Packing Slip","Распечатывать заказ как путевой лист"
"Use this option if you would like to print packing slips without having to create shipments. You will however loose the ability to print the packing slips with the shipment number (the order number is used instead).","Используйте эту функцию для распечатки путевого листа без создания отгрузки. Взамен номера отгрузки на путевом листе будет использован номер заказа."
"Footer Block 1","Блок 1 для колонтитула"
"Footer Block 2","Блок 2 для колонтитула"
"Footer Block 3","Блок 3 для колонтитула"
"Footer Block 4","Блок 4 для колонтитула"
"Double - Shipping and Return Addresses","Двойной - адрес получателя и адрес возврата"
"Return Address","Адрес возврата"
"Total Weight","Общий вес"
"Display Total Weight","Отображать общий вес"
"kg","кг"
"Background Image for Pdf","Фоновое изображение"
"Order Title","Заголовок заказа"
"Display Order ID in Header","Показывать номер заказа в заголовке"
"Placement of Logo","Placement of Logo"
"Logo Width","Logo Width"
"Logo Height","Logo Height"
"Logo top-left Corner from the left","Logo top-left Corner from the left"
"Logo top-left Corner from the top","Logo top-left Corner from the top"
"automatic","automatic"
"no-scaling","no-scaling"
"manual","manual"
"Display Email Address","Display Email Address"
"Displays as part of the billing address.","Displays as part of the billing address."
"in milimeters","in milimeters"
"Display Row Subtotal Including Tax","Display Row Subtotal Including Tax"
"is only effective if Tax > Orders, Invoices, Creditmemos Display Settings > Prices is set to not display taxes","is only effective if Tax > Orders, Invoices, Creditmemos Display Settings > Prices is set to not display taxes"
"Grand Total is tax inclusive","Grand Total is tax inclusive"
"Display only one Grand Total","Display only one Grand Total"
"Columns","Columns"
"Columns Advanced","Columns Advanced"
"Display Background only on first page","Display Background only on first page"
"Custom Column","Custom Column"
"Custom Column Attribute","Custom Column Attribute"
